"130534","清河县","5","亚洲","中国","河北省","邢台市"
"130581","南宫市","5","亚洲","中国","河北省","邢台市"
"130603","北市区","5","亚洲","中国","河北省","保定市"
"130621","满城县","5","亚洲","中国","河北省","保定市"
"130627","唐县","5","亚洲","中国","河北省","保定市"
"130629","容城县","5","亚洲","中国","河北省","保定市"
"130631","望都县","5","亚洲","中国","河北省","保定市"
"130633","易县","5","亚洲","中国","河北省","保定市"
"130635","蠡县","5","亚洲","中国","河北省","保定市"
"130637","博野县","5","亚洲","中国","河北省","保定市"
"130705","宣化区","5","亚洲","中国","河北省","张家口市"
"130722","张北县","5","亚洲","中国","河北省","张家口市"
"130724","沽源县","5","亚洲","中国","河北省","张家口市"
"130726","蔚县","5","亚洲","中国","河北省","张家口市"
"130728","怀安县","5","亚洲","中国","河北省","张家口市"
"130802","双桥区","5","亚洲","中国","河北省","承德市"
"230110","香坊区","5","亚洲","中国","黑龙江省","哈尔滨市"
"230112","阿城区","5","亚洲","中国","黑龙江省","哈尔滨市"
"230125","宾县","5","亚洲","中国","黑龙江省","哈尔滨市"
"230127","木兰县","5","亚洲","中国","黑龙江省","哈尔滨市"
"230208","梅里斯达斡尔族区","5","亚洲","中国","黑龙江省","齐齐哈尔市"
"230225","甘南县","5","亚洲","中国","黑龙江省","齐齐哈尔市"
"230229","克山县","5","亚洲","中国","黑龙江省","齐齐哈尔市"
"230305","梨树区","5","亚洲","中国","黑龙江省","鸡西市"
"230382","密山市","5","亚洲","中国","黑龙江省","鸡西市"
"230421","萝北县","5","亚洲","中国","黑龙江省","鹤岗市"
"230505","四方台区","5","亚洲","中国","黑龙江省","双鸭山市"
"230522","友谊县","5","亚洲","中国","黑龙江省","双鸭山市"
"230623","林甸县","5","亚洲","中国","黑龙江省","大庆市"
"230704","友好区","5","亚洲","中国","黑龙江省","伊春市"
"230707","新青区","5","亚洲","中国","黑龙江省","伊春市"
"230714","乌伊岭区","5","亚洲","中国","黑龙江省","伊春市"
"230722","嘉荫县","5","亚洲","中国","黑龙江省","伊春市"
"230805","东风区","5","亚洲","中国","黑龙江省","佳木斯市"
"230826","桦川县","5","亚洲","中国","黑龙江省","佳木斯市"
"230882","富锦市","5","亚洲","中国","黑龙江省","佳木斯市"
"231005","西安区","5","亚洲","中国","黑龙江省","牡丹江市"
"231025","林口县","5","亚洲","中国","黑龙江省","牡丹江市"
"231123","逊克县","5","亚洲","中国","黑龙江省","黑河市"
"231181","北安市","5","亚洲","中国","黑龙江省","黑河市"
"231225","明水县","5","亚洲","中国","黑龙江省","绥化市"
"232723","漠河县","5","亚洲","中国","黑龙江省","大兴安岭地区"
"140827","垣曲县","5","亚洲","中国","山西省","运城市"
"140829","平陆县","5","亚洲","中国","山西省","运城市"
"410182","荥阳市","5","亚洲","中国","河南省","郑州市"
"410184","新郑市","5","亚洲","中国","河南省","郑州市"
"410204","鼓楼区","5","亚洲","中国","河南省","开封市"
"410211","金明区","5","亚洲","中国","河南省","开封市"
"410306","吉利区","5","亚洲","中国","河南省","洛阳市"
"410322","孟津县","5","亚洲","中国","河南省","洛阳市"
"410324","栾川县","5","亚洲","中国","河南省","洛阳市"
"410327","宜阳县","5","亚洲","中国","河南省","洛阳市"
"410422","叶县","5","亚洲","中国","河南省","平顶山市"
"410425","郏县","5","亚洲","中国","河南省","平顶山市"
"410482","汝州市","5","亚洲","中国","河南省","平顶山市"
"410724","获嘉县","5","亚洲","中国","河南省","新乡市"
"410727","封丘县","5","亚洲","中国","河南省","新乡市"
"410811","山阳区","5","亚洲","中国","河南省","焦作市"
"410825","温县","5","亚洲","中国","河南省","焦作市"
"411025","襄城县","5","亚洲","中国","河南省","许昌市"
"411122","临颍县","5","亚洲","中国","河南省","漯河市"
"420525","远安县","5","亚洲","中国","湖北省","宜昌市"
"420581","宜都市","5","亚洲","中国","湖北省","宜昌市"
"420606","樊城区","5","亚洲","中国","湖北省","襄阳市"
"420626","保康县","5","亚洲","中国","湖北省","襄阳市"
"420702","梁子湖区","5","亚洲","中国","湖北省","鄂州市"
"420881","钟祥市","5","亚洲","中国","湖北省","荆门市"
"421023","监利县","5","亚洲","中国","湖北省","荆州市"
"421087","松滋市","5","亚洲","中国","湖北省","荆州市"
"421281","赤壁市","5","亚洲","中国","湖北省","咸宁市"
"360830","永新县","5","亚洲","中国","江西省","吉安市"
"360926","铜鼓县","5","亚洲","中国","江西省","宜春市"
"430204","石峰区","5","亚洲","中国","湖南省","株洲市"
"430221","株洲县","5","亚洲","中国","湖南省","株洲市"
